imdbID;title;year;runtime;genre;released;imdbRating;imdbVotes;country
10040;Daddy-Long-Legs;1919;85 min;Comedy, Drama;1919-05-11;7,8;1076;USA
10057;A Day's Pleasure;1919;24 min;Short, Comedy;1919-12-15;6,8;1814;USA
10060;The Delicious Little Devil;1919;63 min;Comedy, Drama;1919-05-01;7,2;660;USA
10071;Don't Change Your Husband;1919;71 min;Comedy;1919-01-26;7,9;899;USA
10146;From Hand to Mouth;1919;22 min;Comedy, Short, Action;1919-12-28;7;639;USA
10155;The Garage;1920;25 min;Short, Comedy;1920-01-11;6,8;614;USA
10195;The Grim Game;1919;71 min;Adventure, Drama;1919-10-12;6,9;48;USA
10208;Harakiri;1919;80 min;Drama;1921-10-17;5,6;332;Germany
10247;Herr Arnes pengar;1919;122 min;Drama, History;1921-12-10;7;743;Sweden
10267;The Hoodlum;1919;78 min;Comedy;1919-08-31;7;706;USA
10281;I Don't Want to Be a Man;1918;45 min;Comedy, Romance;2007-12-05;6,9;628;Germany
10307;J'accuse!;1919;166 min;Drama, Horror, War;1919-04-25;7,1;840;France
10323;The Cabinet of Dr. Caligari;1920;67 min;Crime, Horror, Thriller;1921-03-19;8,1;34504;Germany
10418;Male and Female;1919;116 min;Adventure, Drama;1919-11-23;8;1273;USA
10726;Die Spinnen, 1. Teil - Der Goldene See;1919;130 min;Adventure, Western;1979-11-08;6,3;658;Germany
10747;Sunnyside;1919;41 min;Comedy, Short;1919-06-15;6,8;1696;USA
10806;True Heart Susie;1919;87 min;Comedy, Drama, Romance;1919-06-01;7,1;991;USA
10821;Eerie Tales;1919;112 min;Fantasy, Horror, Mystery;1919-11-05;5,8;282;Germany
11000;Leaves Out of the Book of Satan;1920;167 min;Drama;1921-01-24;6,8;773;Denmark
11071;Convict 13;1920;20 min;Short, Comedy;1920-10-27;7,1;1658;USA
11130;Dr. Jekyll and Mr. Hyde;1920;49 min;Drama, Horror, Sci-Fi;1921-02-18;7;3166;USA
11157;Erotikon;1920;106 min;Comedy, Romance;1920-11-08;6,6;491;Sweden
11193;The Flapper;1920;88 min;Comedy;1920-05-10;6,8;165;USA
11237;The Golem;1920;91 min;Fantasy, Horror;1921-06-19;7,2;4437;Germany
11293;High and Dizzy;1920;26 min;Comedy, Short;1920-07-11;7;646;USA
11358;Just Pals;1920;50 min;Comedy, Drama, Western;1920-10-21;6,6;211;USA
11362;Karin Ingmarsdotter;1920;115 min;Drama;1920-02-02;6,8;67;Sweden
11370;Secret of the Monastery;1920;54 min;Drama;1920-01-01;7;176;Sweden
11387;The Last of the Mohicans;1920;73 min;Adventure, Drama;1920-11-21;6,9;773;USA
11401;Life of the Party;1920;50 min;Drama, Comedy;1920-11-21;5,5;13;USA
11439;The Mark of Zorro;1920;107 min;Adventure, Western;1920-12-05;7,3;1469;USA
11508;Neighbors;1920;18 min;Short, Comedy, Romance;1920-12-22;7,8;2190;USA
11521;Number, Please?;1920;25 min;Comedy, Short;1920-12-26;7;628;USA
11541;One Week;1920;25 min;Short, Comedy;1920-09-01;8,3;3942;USA
11565;The Penalty;1920;90 min;Crime, Drama, Thriller;1920-08-01;7,6;1295;USA
11652;The Saphead;1920;77 min;Comedy;1920-09-01;6,2;1020;USA
11656;The Scarecrow;1920;19 min;Comedy, Short, Family;1920-12-22;8;2093;USA
11723;Die Spinnen, 2. Teil - Das Brillantenschiff;1920;104 min;Adventure;1979-11-08;6,3;465;Germany
11833;From Morn to Midnight;1920;65 min;Thriller;;6,8;213;Germany
11841;Way Down East;1920;145 min;Drama, Romance;1920-09-03;8;3584;USA
11865;Why Change Your Wife?;1920;90 min;Comedy, Drama;1921-09-19;8,1;1079;USA
